"ManagerID","DirectReports","ManagerName","ManagerDepartmentID","ManagerJobID"
101117,1,"Patrick Pineinghart",2,7
101119,1,"Seth Wrenunden",8,30
101121,1,"Drew Wolfunworth",3,11
101122,2,"Autumn Goldellridge",2,5
101130,3,"Finley Silverindale",10,37
101131,2,"Arthur Crowlin",10,36
101132,11,"Christopher Fairinton",2,8
101135,4,"Jason Torrormere",2,7
101138,4,"Adam Yorkunbrook",2,7
101140,3,"Morgan Burnonridge",4,15
101144,6,"Hailey Clarktonton",7,27
101148,3,"Genesis Parkingmere",2,5
101149,3,"Mason Bennaridge",4,15
101150,1,"Evelyn Longonwall",2,5
101158,1,"Roman Adlerunton",6,22
101167,5,"Mateo Daloncrest",10,37
101168,5,"Stella Glenorson",2,7
101169,4,"Daniel Grayunstrom",9,33
101170,1,"Noah Riverormore",2,5
101172,4,"Julia Bellonworth",8,31
101173,2,"Taylor Torrerby",9,33
101175,5,"Ana Foxinman",9,34
101176,1,"Aiden Caldanwell",2,6
101180,2,"Tyler Blakeaham",2,6
101181,6,"Isla Dalettridge",6,23
101182,6,"William Dunlinfield",4,15
101183,2,"Rose Burnemont",2,6
101185,4,"Alexis Rowbry",5,18
101186,3,"Scarlett Wardestone",2,7
101195,3,"Preston Foxustone",9,34
101197,1,"Luke Colewellson",2,5
101200,2,"Aubrey Whitwall",6,22
101201,2,"Luke Hollaby",8,29
101206,5,"Lillian Sandasen",4,15
101207,1,"Victoria Burnelway",8,29
101209,6,"Jasmine Sandtonway",10,37
101210,2,"Richard Presermere",2,6
101213,1,"Jade Burnquist",2,5
101214,1,"Nicole Crossanwood",3,11
101215,2,"Isla Grayathorne",8,30
101217,9,"Bella Hallanquist",10,37
101222,2,"Mateo Longlincrest",8,29
101225,1,"Julia Wardinridge",2,5
101226,6,"Jayden Ellham",10,37
101229,5,"Arthur Mondale",2,7
101231,1,"Savannah Glenellman",2,5
101233,2,"Hazel Bennaridge",2,6
101237,1,"Aisha Hollaridge",2,5
101241,2,"Jacob Monorbrook",6,22
101247,2,"Kiara Mononridge",2,5
101248,1,"Harley Parkiton",2,6
101250,1,"Eden Parktonby",3,10
101252,3,"Tyler Wolfuway",6,22
101254,4,"Ashley Barlinworth",2,7
101256,1,"Cole Clarkellway",8,29
101257,1,"Emerson Foxarway",2,6
101266,2,"Ashley Wardinridge",2,7
101267,1,"Kevin Reedellford",4,14
101268,5,"Christopher Halleyland",7,27
101275,1,"Carla Bennettland",4,15
101276,2,"Ava Winteribry",3,10
101277,2,"Elliot Hartemore",2,5
101278,3,"Alan Chandercott",2,7
101279,2,"Harper Hallellmore",8,29
101280,3,"Lane Yorkardale",10,36
101282,1,"Bella Stoneunlin",6,22
101287,1,"Jeremiah Brookinstrom",6,22
101290,6,"Adam Wolfinsen",8,30
101291,2,"Delilah Stoneshire",2,7
101292,2,"Abigail Wrenford",6,21
101298,4,"Grant Brightoncott",9,33
101301,4,"Penelope Craniwin",7,26
101303,1,"Caleb Goldelby",2,6
101304,4,"Sofia Summererham",8,30
101307,2,"Reese Greenuncroft",8,30
101309,1,"Aubrey Willwood",9,33
101310,2,"Gabriel Oakohart",4,14
101312,1,"Matthew Beckorton",2,5
101316,2,"Rowan Deltonman",5,17
101317,1,"Maya Blandlinlin",10,36
101318,4,"Parker Fairowin",2,7
101319,3,"Dakota Clarkellway",9,33
101321,5,"Madison Darnshire",3,11
101326,1,"Stephen Lakeanden",5,17
101327,1,"Cole Stormshire",2,6
101329,1,"Ella Crossonward",2,6
101330,6,"Thomas Brookinstrom",4,15
101339,5,"Isla Radellway",9,34
101340,1,"Michael Summerton",6,21
101341,2,"Savannah Asheldale",2,5
101347,4,"Leah Quilledale",2,8
101352,2,"Casey Oakadale",4,14
101360,4,"Brianna Riveranstone",10,37
101362,1,"Colin Torrwellwin",8,29
101364,1,"Reese Wolfonbry",8,30
101365,1,"Quinn Stoneaman",5,17
101367,4,"Xavier Rosearstone",2,7
101371,1,"Eden Kendorridge",7,26
101378,2,"River Monberg",10,36
101379,1,"Emily Baringway",8,30
101380,2,"Isabella Northleybry",2,7
101381,2,"Sophia Springorwell",5,17
101382,2,"Benjamin Torranquist",8,29
101384,3,"Taylor Eastinlin",6,22
101385,1,"Rafael Fordsonwell",5,18
101387,2,"Taylor Rainley",2,6
101391,2,"Paige Kenduton",8,30
101392,2,"Amy Rainustrom",2,5
101395,1,"Nathan Thornleydale",8,30
101397,4,"Nicole Summerarberg",2,7
101398,1,"Michael Silverarway",10,36
101401,2,"Reese Thornlinwin",8,29
101403,2,"River Parkoridge",2,6
101405,1,"Simon Greenlinwell",8,29
101406,1,"Sage Wolflinmond",2,5
101410,2,"Bailey Hayusen",2,6
101412,4,"Violet Sandarworth",2,7
101413,4,"Henry Millindale",4,15
101415,2,"Alice Stormunridge",2,6
101418,2,"Charles Torremore",10,36
101420,2,"Madeline Meadelbrook",2,7
101421,2,"Gabriella Fairunberg",4,14
101424,1,"Claire Reedham",6,22
101425,4,"Gavin Presfield",5,18
101427,1,"Elliot Delington",8,30
101433,2,"Jamie Kenduton",4,14
101438,3,"Isaac Swanberg",8,29
101439,4,"Maya Rainettmond",2,6
101444,3,"Grant Rainworth",5,18
101450,2,"Elena Roseelhart",2,6
101451,1,"Eden Noraway",5,17
101454,6,"Violet Sandham",3,12
101461,3,"Abigail Oaksonwin",6,23
101462,1,"Christopher Brookettby",8,29
101463,5,"Vincent Wintercott",4,15
101464,3,"Delilah Westson",9,33
101466,1,"Grace Radanwin",2,5
101467,5,"Audrey Meadelmere",2,7
101469,1,"Alicia Dunettman",4,14
101470,1,"Delilah Hawkencott",5,17
101474,1,"Elizabeth Sandinman",2,5
101476,3,"Mason Silveronwall",4,14
101477,1,"Andrew Grantsonwell",2,6
101478,1,"Melanie Valeenridge",2,5
101479,11,"Owen Monellwood",11,40
101481,1,"River Crowleybry",8,29
101485,3,"Savannah Hartaford",7,26
101487,2,"Lucas Quilleyland",4,15
101491,3,"Alex Beckorshire",6,23
101492,1,"Charlotte Hayenquist",3,10
101499,1,"Jack Crowecott",2,7
101504,1,"Oliver Grantleyward",8,30
101509,2,"Jeremiah Carelwood",2,6
101510,5,"Anna Raderstone",6,23
101511,5,"Joshua Grantenford",2,7
101514,1,"Cole Carettden",2,7
101517,6,"Wesley Presewall",2,7
101520,1,"Henry Clarketton",8,29
101521,7,"Dylan Longonwall",10,37
101522,1,"Gavin Crossansen",5,18
101523,2,"Carlos Springocroft",4,14
101524,1,"Joel Hawkwood",9,33
101526,1,"Peter Hallelcrest",4,14
101529,4,"Diana Faironridge",7,27
101531,2,"Isabella Torrunshire",8,30
101532,11,"Audrey Blakeelridge",2,8
101535,1,"Gabriella Crowinstone",8,29
101538,2,"Emily Glensen",9,33
101541,1,"Sebastian Blackellin",8,29
101543,6,"Paul Clarkman",10,37
101544,4,"Alyssa Thornerstrom",6,23
101545,1,"Mia Stoneellford",8,29
101546,2,"Albert Emuman",6,22
101547,1,"Parker Brookman",9,33
101548,1,"Henry Wreningmont",6,21
101549,2,"Anthony Moncrest",4,14
101551,1,"Evan Foxwellridge",8,29
101553,3,"Carter Hallaton",9,33
101556,2,"Jonathan Brightaford",9,33
101558,2,"Emma Winterarwood",8,29
101561,4,"Kingston Thornthorne",6,22
101564,7,"Ariel Burnoman",9,34
101568,3,"Miles Parkettford",8,30
101573,2,"Blair Parkormond",10,36
101575,3,"Kennedy Calderman",10,36
101576,1,"Sage Ellustead",2,5
101577,2,"Amy Willanham",9,33
101585,4,"Oliver Caldellridge",7,27
101586,1,"Vincent Grayanbrook",2,7
101587,2,"Maria Reedsonmore",5,18
101590,2,"Penelope Sandusen",11,39
101601,7,"Jacob Burnuwood",2,8
101603,2,"Alexa Caldwihart",2,8
101605,8,"Hazel Rainlinstead",7,27
101607,1,"Nicole Barcroft",7,26
101608,2,"Austin Rainelwall",10,36
101609,1,"River Blanducroft",3,10
101610,1,"Lucas Hollinwell",2,5
101612,2,"Kevin Silvererland",8,30
101613,1,"Evelyn Valeenridge",5,17
101614,2,"Blake Norettwood",2,5
101618,2,"Charlotte Torrwellwin",6,23
101619,2,"Christopher Presorstrom",8,29
101621,2,"Evelyn Windettbry",9,33
101625,4,"Christian Camawall",7,26
101627,2,"Logan Perryorridge",2,7
101630,1,"Kai Blackunbry",7,27
101636,1,"Anthony Blackefield",2,5
101637,5,"Brianna Riveruworth",9,33
101638,2,"Isla Greenleyway",2,6
101640,1,"Aisha Eastwellmont",6,23
101642,1,"Faith Autumnanby",6,21
101644,4,"Jeremiah Brookeshire",8,30
101646,5,"Lucy Whitanmere",2,8
101647,2,"Julia Brightoncott",8,29
101653,9,"Jason Presalin",9,34
101655,2,"Peter Torremore",3,12
101656,1,"Ryan Sandarfield",8,29
101657,1,"Victoria Chanderbrook",2,5
101658,1,"Isla Wardellquist",5,17
101659,1,"Daniel Fordettquist",2,5
101661,2,"Zoe Glenshire",2,7
101663,1,"Blair Radellmond",8,29
101664,1,"Aubrey Swananwell",7,26
101665,1,"Sarah Hallardale",2,5
101668,2,"Camila Glenacott",2,7
101669,3,"Ella Autumnorberg",2,6
101672,1,"Delilah Crossettford",2,5
101673,1,"Phoenix Silverumere",5,17
101678,7,"Anthony Quillenstone",2,8
101680,5,"Sofia Hayingthorne",6,22
101687,4,"Elliot Clarklinwall",7,27
101688,4,"Dominic Darneward",7,27
101690,3,"Nicole Finerley",6,22
101691,4,"Justin Pineumont",8,30
101693,4,"Samuel Parktonby",9,33
101694,1,"Brooklyn Summersonden",2,7
101695,1,"Gabriella Swanmore",2,6
101696,2,"Isaac Northercrest",3,10
101698,1,"Austin Rainenthorne",6,21
101700,2,"Leo Millorsen",4,15
101704,3,"Abigail Kendway",2,6
101706,1,"Jade Ellettlin",2,5
101708,2,"Charlie Oakerquist",7,26
101710,1,"Sofia Langland",2,5
101712,3,"Anna Fairafield",7,26
101714,1,"Jordan Riveroworth",2,6
101715,4,"Violet Westridge",9,34
101716,2,"Connor Norsonton",5,18
101718,3,"Hailey Silvererland",7,27
101719,2,"Addison Glenerdale",3,10
101720,4,"Gabriel Blacktonmond",3,11
101722,1,"Kendall Wolftoncott",4,14
101728,1,"Nicholas Wolfuward",10,36
101729,1,"Oliver Wardleyton",4,14
101730,1,"Luna Stoneubry",3,10
101731,1,"Kingston Ashorridge",2,6
101737,3,"Micah Norellwall",2,6
101738,3,"Grant Hartenstone",6,22
101743,3,"Olivia Valeanson",2,6
101746,1,"Hazel Glenward",8,29
101747,4,"Simon Brightaridge",6,23
101751,2,"Brianna Hollinwell",8,30
101754,3,"Parker Perryuby",8,30
101757,1,"Blake Pinecott",8,30
101759,1,"Nicholas Hallcott",5,17
101760,2,"Michael Springorberg",9,33
101764,1,"Allison Hartlinwin",2,5
101771,4,"Alyssa Yorkson",10,37
101772,9,"Rafael Moneland",2,8
101775,5,"Kiara Wrenarstone",2,8
101777,6,"Benjamin Reedsonwell",3,12
101780,1,"Gavin Crowettcroft",4,15
101782,2,"Madeline Kingoridge",3,10
101791,2,"Rachel Caldwmont",8,29
101795,2,"Quinn Norington",2,6
101797,2,"Ryan Whitsonbrook",9,33
101799,2,"Lucas Ashwood",2,6
101800,2,"Gavin Chandewall",2,6
101802,3,"Owen Kingby",7,26
101803,1,"Peter Meadunbrook",5,17
101805,5,"Cole Glenellman",2,7
101810,2,"Kingston Eastilin",6,22
101811,4,"Ashley Wardinquist",3,11
101812,3,"Avery Rivererton",2,7
101814,3,"Eliana Winterettway",2,6
101817,3,"Bailey Finwellman",2,6
101819,1,"Alexander Winteralin",7,26
101820,2,"Ethan Winterarwood",3,10
101821,2,"Asher Perrytonham",5,17
101823,8,"Audrey Hayeson",9,34
101826,2,"Maya Hawkeby",2,6
101828,8,"Sophia Foxellworth",7,27
101832,2,"Matthew Halltonman",2,5
101833,3,"Carla Marleywall",4,15
101836,1,"Carla Valeden",10,36
101838,2,"Amelia Burnley",7,26
101842,7,"Peter Stormenden",3,12
101843,2,"Preston Bennuman",9,33
101847,2,"Mateo Bellson",8,29
