"CandidateID","FirstName","LastName","Gender","RequisitionID","ApplicationDate","Source","CurrentStage","JobID","DepartmentID","JobTitle","JobLevel","Recruiter","InterviewScore","OfferAccepted","DaysToFill"
500025,"Harper","Wrentonland","Female",701340,2024-09-16,"LinkedIn","Phone Screen",13,4,"IT Support Specialist",1,"S. Lee",NA,NA,NA
500026,"Ariel","Whitunward","Male",700740,2025-01-27,"Career Site","Interview",24,6,"Director of HR",6,"K. Brown",3.4,NA,NA
500027,"Drew","Rainleyshire","Female",700862,2025-02-25,"Agency","Hired",21,6,"HR Generalist",2,"J. Watson",2.8,"Yes",83
500028,"Rachel","Beckcroft","Female",701273,2025-12-10,"LinkedIn","Applied",30,8,"Sales Manager",4,"K. Brown",NA,NA,NA
500029,"Mia","Dunwall","Female",702006,2024-05-08,"Referral","Rejected",2,1,"Chief Operating Officer",9,"M. Davis",4.6,NA,NA
500030,"Savannah","Beckerden","Female",700459,2025-07-12,"LinkedIn","Rejected",27,7,"Marketing Director",5,"J. Watson",3.7,NA,NA
500031,"Simon","Stormleymont","Male",701339,2024-02-26,"Indeed","Hired",34,9,"Director of Operations",6,"A. Carter",3.2,"Yes",46
500032,"Stephen","Stoneubry","Male",700108,2025-04-08,"Indeed","Rejected",22,6,"HR Business Partner",3,"T. Nguyen",3.9,NA,NA
500033,"Owen","Stoneanmont","Male",700723,2025-07-01,"Indeed","Rejected",24,6,"Director of HR",6,"K. Brown",4,NA,NA
500034,"Eden","Blandtonmere","Male",700888,2024-03-02,"LinkedIn","Rejected",3,1,"Vice President",8,"K. Brown",4.2,NA,NA
500035,"Kendall","Rainarland","Male",701467,2024-03-19,"Referral","Interview",8,2,"Director of Engineering",6,"A. Carter",3.6,NA,NA
500036,"Rowan","Halluberg","Male",701507,2024-05-06,"LinkedIn","Applied",12,3,"Director of Product",6,"R. Thomas",NA,NA,NA
500037,"Miles","Rainettmond","Non-Binary",700138,2024-06-20,"LinkedIn","Interview",16,5,"Financial Analyst",2,"J. Watson",3.3,NA,NA
500038,"Finley","Stoneorwell","Female",700515,2024-09-08,"Referral","Withdrawn",21,6,"HR Generalist",2,"K. Brown",NA,NA,NA
500039,"Peyton","Longingshire","Female",700151,2024-12-17,"LinkedIn","Applied",5,2,"Software Engineer II",2,"M. Davis",NA,NA,NA
500040,"Peyton","Wolfingcroft","Male",700880,2025-09-19,"Indeed","Interview",24,6,"Director of HR",6,"T. Nguyen",4.6,NA,NA
500041,"Nicole","Willridge","Female",701477,2025-08-30,"Indeed","Applied",16,5,"Financial Analyst",2,"A. Carter",NA,NA,NA
500042,"Cameron","Summeruford","Non-Binary",702632,2024-11-26,"LinkedIn","Rejected",3,1,"Vice President",8,"R. Thomas",3.9,NA,NA
500043,"Natalie","Hayushire","Female",700852,2024-10-10,"Career Site","Withdrawn",26,7,"Digital Marketing Manager",3,"M. Davis",NA,NA,NA
500044,"Nathan","Monoridge","Male",700253,2024-11-20,"Internal","Interview",33,9,"Operations Manager",4,"A. Carter",4.2,NA,NA
500045,"Natalie","Rowiham","Female",701935,2025-01-03,"LinkedIn","Phone Screen",11,3,"Senior Product Manager",4,"D. Patel",NA,NA,NA
500046,"Kaitlyn","Graylinson","Female",701331,2024-03-13,"Career Site","Withdrawn",26,7,"Digital Marketing Manager",3,"M. Davis",NA,NA,NA
500047,"Thomas","Hayway","Male",701592,2024-08-26,"Campus","Applied",33,9,"Operations Manager",4,"K. Brown",NA,NA,NA
500048,"Logan","Hartaford","Male",701650,2025-08-05,"Campus","Hired",10,3,"Product Manager",3,"M. Davis",4.2,"Yes",44
500049,"Eliana","Caldalin","Female",700095,2025-06-21,"Indeed","Interview",40,11,"General Counsel",8,"T. Nguyen",4.1,NA,NA
500050,"Autumn","Presewall","Female",702172,2024-08-30,"Agency","Rejected",14,4,"Systems Administrator",2,"J. Watson",4.3,NA,NA
500051,"Olivia","Crowtonridge","Female",701943,2025-07-23,"Networking Event","Rejected",36,10,"Customer Support Manager",3,"R. Thomas",4.6,NA,NA
500052,"Drew","Stormabrook","Female",701579,2024-09-30,"LinkedIn","Applied",39,11,"Corporate Counsel",4,"J. Watson",NA,NA,NA
500053,"Micah","Brookettby","Male",702431,2025-07-02,"LinkedIn","Phone Screen",16,5,"Financial Analyst",2,"K. Brown",NA,NA,NA
500054,"Peter","Caronmore","Male",701512,2024-11-10,"Referral","Rejected",2,1,"Chief Operating Officer",9,"J. Watson",2.7,NA,NA
500055,"Micah","Presedale","Male",701154,2024-05-28,"Indeed","Final Interview",24,6,"Director of HR",6,"M. Davis",4.6,NA,NA
500056,"Hannah","Millorsen","Female",702551,2024-09-12,"LinkedIn","Offer Extended",35,10,"Customer Support Representative",1,"K. Brown",4.6,"Pending",66
500057,"Isaac","Marenson","Male",702319,2024-12-25,"Referral","Withdrawn",11,3,"Senior Product Manager",4,"R. Thomas",NA,NA,NA
500058,"Arthur","Golderstrom","Male",701724,2024-08-24,"LinkedIn","Applied",29,8,"Account Executive",2,"M. Davis",NA,NA,NA
500059,"Jordan","Silverleyson","Female",702244,2025-04-15,"Referral","Phone Screen",33,9,"Operations Manager",4,"M. Davis",NA,NA,NA
500060,"Delilah","Brookelworth","Female",700376,2024-04-17,"LinkedIn","Offer Extended",37,10,"Director of Customer Support",5,"T. Nguyen",4,"Pending",33
500061,"Sarah","Whitistrom","Female",702648,2025-05-21,"Agency","Interview",6,2,"Senior Software Engineer",3,"M. Davis",3.1,NA,NA
500062,"Ian","Emunworth","Male",702759,2025-11-22,"LinkedIn","Final Interview",29,8,"Account Executive",2,"M. Davis",2.5,NA,NA
500063,"Lucas","Eastmere","Male",702000,2025-04-06,"LinkedIn","Phone Screen",18,5,"Finance Manager",4,"D. Patel",NA,NA,NA
500064,"Finley","Westbry","Female",701080,2025-01-28,"LinkedIn","Phone Screen",17,5,"Senior Financial Analyst",3,"D. Patel",NA,NA,NA
500065,"Elena","Grayford","Female",701953,2024-01-16,"Internal","Phone Screen",24,6,"Director of HR",6,"M. Davis",NA,NA,NA
500066,"Kayla","Caranby","Female",700086,2024-06-07,"Career Site","Interview",9,3,"Product Analyst",2,"K. Brown",2.5,NA,NA
500067,"Ethan","Fordingwood","Male",700489,2024-11-05,"Agency","Final Interview",18,5,"Finance Manager",4,"A. Carter",3.4,NA,NA
500068,"Dakota","Bramalin","Male",700228,2025-06-04,"LinkedIn","Phone Screen",7,2,"Engineering Manager",4,"A. Carter",NA,NA,NA
500069,"Felix","Raderstone","Male",702197,2025-07-16,"LinkedIn","Hired",38,11,"Legal Analyst",2,"D. Patel",2.6,"Yes",24
500070,"Peyton","Fairingbry","Female",701078,2024-12-13,"Internal","Withdrawn",27,7,"Marketing Director",5,"T. Nguyen",NA,NA,NA
500071,"Lillian","Roseafield","Female",700636,2024-06-27,"LinkedIn","Applied",24,6,"Director of HR",6,"K. Brown",NA,NA,NA
500072,"Nicholas","Fordiman","Male",700832,2024-04-06,"Referral","Rejected",1,1,"Chief Executive Officer",10,"K. Brown",3,NA,NA
500073,"Brooklyn","Sandham","Female",700501,2024-08-19,"Campus","Final Interview",8,2,"Director of Engineering",6,"S. Lee",2,NA,NA
500074,"Dylan","Windinby","Male",702530,2025-11-01,"LinkedIn","Applied",10,3,"Product Manager",3,"D. Patel",NA,NA,NA
500075,"Hudson","Caldwiton","Male",702322,2025-06-01,"LinkedIn","Final Interview",1,1,"Chief Executive Officer",10,"T. Nguyen",3.1,NA,NA
500076,"Madeline","Hollinlin","Female",702009,2025-08-21,"Career Site","Applied",9,3,"Product Analyst",2,"R. Thomas",NA,NA,NA
500077,"Isabella","Langtoncroft","Non-Binary",702060,2024-10-25,"Indeed","Hired",22,6,"HR Business Partner",3,"M. Davis",2.1,"Yes",42
500078,"Maya","Torruton","Female",700532,2024-10-13,"Referral","Applied",13,4,"IT Support Specialist",1,"A. Carter",NA,NA,NA
500079,"Emma","Westinbrook","Non-Binary",701431,2024-10-10,"Networking Event","Phone Screen",5,2,"Software Engineer II",2,"K. Brown",NA,NA,NA
500080,"Alice","Wardarwall","Female",702481,2024-02-19,"LinkedIn","Rejected",4,2,"Software Engineer I",1,"S. Lee",4.5,NA,NA
500081,"Nicholas","Barunton","Male",700269,2025-02-16,"Referral","Rejected",33,9,"Operations Manager",4,"S. Lee",3.7,NA,NA
500082,"Sydney","Eastwelland","Female",701013,2024-04-22,"Internal","Rejected",37,10,"Director of Customer Support",5,"R. Thomas",3.4,NA,NA
500083,"Mia","Reedonford","Female",701819,2025-01-05,"Agency","Rejected",27,7,"Marketing Director",5,"S. Lee",2.3,NA,NA
500084,"Alexis","Bramsondale","Female",700759,2024-01-07,"Referral","Phone Screen",5,2,"Software Engineer II",2,"S. Lee",NA,NA,NA
500085,"Jeremiah","Sandsonstead","Non-Binary",700736,2024-07-21,"LinkedIn","Offer Extended",32,9,"Operations Analyst",2,"A. Carter",3.8,"Pending",65
500086,"Taylor","Ashonman","Non-Binary",702434,2024-12-20,"Campus","Interview",4,2,"Software Engineer I",1,"J. Watson",4.1,NA,NA
500087,"Autumn","Brookinton","Female",700344,2025-09-30,"LinkedIn","Offer Extended",16,5,"Financial Analyst",2,"R. Thomas",2.7,"Pending",43
500088,"Colin","Ellerlin","Male",702031,2024-12-25,"LinkedIn","Interview",6,2,"Senior Software Engineer",3,"K. Brown",3.5,NA,NA
500089,"Anthony","Eastmont","Male",701889,2024-06-06,"LinkedIn","Hired",30,8,"Sales Manager",4,"K. Brown",3.3,"Yes",72
500090,"Jackson","Westandale","Male",700352,2025-08-23,"LinkedIn","Phone Screen",34,9,"Director of Operations",6,"T. Nguyen",NA,NA,NA
500091,"Jonathan","Oaksonstone","Male",702401,2025-04-06,"Career Site","Phone Screen",14,4,"Systems Administrator",2,"M. Davis",NA,NA,NA
500092,"Emily","Swaninmore","Female",701589,2024-01-14,"LinkedIn","Offer Extended",4,2,"Software Engineer I",1,"J. Watson",2.1,"Pending",53
500093,"Christopher","Westworth","Male",701512,2025-03-30,"Internal","Hired",2,1,"Chief Operating Officer",9,"J. Watson",3.2,"Yes",80
500094,"Ethan","Fairanbry","Male",702011,2025-04-20,"Referral","Rejected",35,10,"Customer Support Representative",1,"T. Nguyen",2.2,NA,NA
500095,"Gianna","Goldanmere","Female",701354,2025-12-16,"Campus","Applied",39,11,"Corporate Counsel",4,"T. Nguyen",NA,NA,NA
500096,"Elijah","Yorkinfield","Male",701332,2025-01-23,"Internal","Final Interview",18,5,"Finance Manager",4,"J. Watson",2.8,NA,NA
500097,"Jackson","Thornelcrest","Non-Binary",701521,2025-06-22,"Indeed","Phone Screen",27,7,"Marketing Director",5,"S. Lee",NA,NA,NA
500098,"Sage","Wrenenway","Male",701949,2024-05-22,"Indeed","Applied",3,1,"Vice President",8,"D. Patel",NA,NA,NA
500099,"Kaitlyn","Blandcrest","Female",700263,2025-02-12,"Agency","Interview",12,3,"Director of Product",6,"M. Davis",2.6,NA,NA
500100,"Simon","Grayocroft","Male",700769,2024-09-15,"Career Site","Withdrawn",18,5,"Finance Manager",4,"M. Davis",NA,NA,NA
500101,"Vincent","Barson","Male",702001,2024-03-15,"Agency","Applied",13,4,"IT Support Specialist",1,"T. Nguyen",NA,NA,NA
500102,"Kennedy","Marecroft","Female",701797,2024-06-30,"Indeed","Rejected",33,9,"Operations Manager",4,"R. Thomas",4.1,NA,NA
500103,"Peyton","Hallelcrest","Male",700368,2026-01-22,"Referral","Final Interview",30,8,"Sales Manager",4,"T. Nguyen",3.6,NA,NA
500104,"Bailey","Thornlinwin","Male",701318,2026-01-12,"Career Site","Final Interview",12,3,"Director of Product",6,"M. Davis",3.2,NA,NA
500105,"Gianna","Caldustone","Female",700757,2024-08-19,"Internal","Rejected",36,10,"Customer Support Manager",3,"M. Davis",4.4,NA,NA
500106,"Nicole","Presalin","Female",701986,2025-02-07,"LinkedIn","Final Interview",24,6,"Director of HR",6,"M. Davis",3.8,NA,NA
500107,"Alex","Wardleyton","Non-Binary",702791,2024-11-19,"Career Site","Hired",38,11,"Legal Analyst",2,"D. Patel",2,"Yes",68
500108,"Blair","Pinetonshire","Male",700649,2024-09-18,"Career Site","Withdrawn",24,6,"Director of HR",6,"M. Davis",NA,NA,NA
500109,"Alexis","Clarkwellin","Female",702694,2024-04-05,"Networking Event","Applied",4,2,"Software Engineer I",1,"D. Patel",NA,NA,NA
500110,"Theodore","Foxsonbrook","Male",702451,2024-01-09,"Campus","Interview",11,3,"Senior Product Manager",4,"D. Patel",4.5,NA,NA
500111,"Nicole","Norettman","Female",701908,2025-08-11,"Internal","Hired",34,9,"Director of Operations",6,"D. Patel",4.3,"Yes",26
500112,"Anthony","Preselson","Male",702625,2025-01-25,"Indeed","Phone Screen",18,5,"Finance Manager",4,"D. Patel",NA,NA,NA
500113,"Anna","Grayelson","Female",700017,2025-08-17,"Referral","Applied",4,2,"Software Engineer I",1,"R. Thomas",NA,NA,NA
500114,"Kai","Valeingmere","Male",700627,2024-01-11,"Indeed","Rejected",21,6,"HR Generalist",2,"T. Nguyen",3.4,NA,NA
500115,"Violet","Fordoman","Non-Binary",701407,2025-10-28,"LinkedIn","Applied",28,8,"Sales Development Representative",1,"J. Watson",NA,NA,NA
500116,"Amy","Marelthorne","Female",702214,2025-10-25,"Internal","Rejected",36,10,"Customer Support Manager",3,"J. Watson",3.9,NA,NA
500117,"Bella","Marecroft","Female",701050,2024-02-04,"Agency","Phone Screen",40,11,"General Counsel",8,"K. Brown",NA,NA,NA
500118,"Peter","Wardabrook","Male",701611,2024-09-14,"Indeed","Interview",13,4,"IT Support Specialist",1,"T. Nguyen",2.7,NA,NA
500119,"Sawyer","Crossonstead","Female",700922,2024-10-09,"Campus","Final Interview",10,3,"Product Manager",3,"J. Watson",3.6,NA,NA
500120,"Lily","Raininberg","Female",700973,2025-01-27,"Career Site","Applied",27,7,"Marketing Director",5,"A. Carter",NA,NA,NA
500121,"Thomas","Ellinland","Non-Binary",701806,2025-02-17,"Campus","Rejected",26,7,"Digital Marketing Manager",3,"S. Lee",4.1,NA,NA
500122,"Delilah","Yorkunbrook","Female",701493,2025-01-30,"Career Site","Hired",9,3,"Product Analyst",2,"M. Davis",2.3,"Yes",63
500123,"Drew","Roseenquist","Female",701856,2025-01-19,"LinkedIn","Rejected",17,5,"Senior Financial Analyst",3,"A. Carter",4.3,NA,NA
500124,"Sawyer","Autumnolin","Male",701595,2025-04-29,"Campus","Applied",32,9,"Operations Analyst",2,"K. Brown",NA,NA,NA
500125,"Morgan","Cranenworth","Male",702739,2024-04-02,"Internal","Interview",22,6,"HR Business Partner",3,"R. Thomas",2.9,NA,NA
500126,"Lily","Beckerstone","Female",702169,2025-03-12,"Networking Event","Rejected",18,5,"Finance Manager",4,"D. Patel",3.9,NA,NA
500127,"Audrey","Presstone","Female",702381,2025-08-29,"Referral","Final Interview",29,8,"Account Executive",2,"D. Patel",2.9,NA,NA
500128,"Lucas","Kendorman","Male",702103,2025-10-20,"Referral","Final Interview",33,9,"Operations Manager",4,"S. Lee",2,NA,NA
500129,"Albert","Grantingford","Male",700928,2026-02-08,"Agency","Final Interview",40,11,"General Counsel",8,"R. Thomas",2.1,NA,NA
500130,"Skyler","Perryelshire","Female",702434,2024-12-28,"Campus","Rejected",4,2,"Software Engineer I",1,"J. Watson",3.6,NA,NA
500131,"Caleb","Marowood","Male",701767,2026-01-12,"Internal","Final Interview",18,5,"Finance Manager",4,"M. Davis",4.5,NA,NA
500132,"Anthony","Dunshire","Male",700276,2024-07-17,"LinkedIn","Phone Screen",38,11,"Legal Analyst",2,"T. Nguyen",NA,NA,NA
500133,"Jeremiah","Westunford","Non-Binary",701959,2025-04-10,"Campus","Final Interview",5,2,"Software Engineer II",2,"M. Davis",2.5,NA,NA
500134,"Matthew","Brookhart","Male",702616,2024-11-17,"LinkedIn","Interview",22,6,"HR Business Partner",3,"R. Thomas",4.9,NA,NA
500135,"Richard","Bellanstead","Male",702139,2026-02-17,"Campus","Rejected",9,3,"Product Analyst",2,"A. Carter",2.1,NA,NA
500136,"Blair","Meadlinbrook","Female",701694,2025-02-12,"LinkedIn","Interview",28,8,"Sales Development Representative",1,"S. Lee",2.4,NA,NA
500137,"Madeline","Dunelcrest","Female",700568,2024-06-17,"Career Site","Rejected",4,2,"Software Engineer I",1,"J. Watson",4.4,NA,NA
500138,"Bella","Perrywellden","Female",702713,2025-07-08,"Career Site","Withdrawn",23,6,"HR Manager",4,"J. Watson",NA,NA,NA
500139,"Noah","Emunmere","Male",701193,2025-06-02,"Referral","Hired",31,8,"Director of Sales",6,"M. Davis",4.4,"Yes",81
500140,"Clara","Eastsonwin","Female",702597,2024-04-30,"Internal","Phone Screen",28,8,"Sales Development Representative",1,"S. Lee",NA,NA,NA
500141,"Victor","Crossleywell","Male",702499,2025-05-19,"Career Site","Offer Extended",27,7,"Marketing Director",5,"T. Nguyen",4.4,"Pending",14
500142,"Emily","Norarshire","Female",701333,2024-10-06,"Agency","Phone Screen",34,9,"Director of Operations",6,"D. Patel",NA,NA,NA
500143,"Joshua","Longarshire","Male",702565,2024-08-13,"LinkedIn","Final Interview",7,2,"Engineering Manager",4,"A. Carter",3.5,NA,NA
500144,"Reese","Hollinwall","Male",701097,2024-07-31,"Agency","Hired",25,7,"Marketing Specialist",1,"T. Nguyen",2.6,"Yes",71
500145,"Destiny","Norarshire","Female",701768,2025-04-01,"Campus","Offer Extended",16,5,"Financial Analyst",2,"K. Brown",4.1,"Pending",38
500146,"Alan","Darnaberg","Male",702524,2025-05-28,"Agency","Rejected",29,8,"Account Executive",2,"R. Thomas",4.2,NA,NA
500147,"Isaac","Delelstead","Male",701332,2025-12-11,"Referral","Interview",18,5,"Finance Manager",4,"J. Watson",4.7,NA,NA
500148,"Eden","Oakarberg","Male",701140,2025-12-31,"Referral","Phone Screen",31,8,"Director of Sales",6,"A. Carter",NA,NA,NA
500149,"Grant","Grantorden","Male",702227,2024-03-29,"Internal","Phone Screen",16,5,"Financial Analyst",2,"D. Patel",NA,NA,NA
500150,"James","Sandishire","Male",701352,2024-12-25,"Indeed","Rejected",13,4,"IT Support Specialist",1,"K. Brown",3.1,NA,NA
500151,"Miles","Greenerway","Male",702343,2024-03-27,"Indeed","Rejected",20,6,"HR Coordinator",1,"D. Patel",3.4,NA,NA
500152,"Felix","Willsen","Male",700327,2025-09-14,"Campus","Rejected",11,3,"Senior Product Manager",4,"R. Thomas",2,NA,NA
500153,"Peyton","Hallwellward","Female",700084,2025-05-15,"Networking Event","Rejected",1,1,"Chief Executive Officer",10,"S. Lee",4.4,NA,NA
500154,"Charlotte","Ashwellmond","Female",702742,2025-11-17,"Campus","Final Interview",40,11,"General Counsel",8,"M. Davis",4.3,NA,NA
500155,"Savannah","Caldolin","Female",702679,2024-07-03,"Indeed","Withdrawn",26,7,"Digital Marketing Manager",3,"S. Lee",NA,NA,NA
500156,"Grant","Delettman","Male",701300,2024-04-18,"Campus","Withdrawn",38,11,"Legal Analyst",2,"M. Davis",NA,NA,NA
500157,"Brooklyn","Glentonwell","Female",701104,2025-03-05,"Career Site","Interview",36,10,"Customer Support Manager",3,"D. Patel",2.4,NA,NA
500158,"Rose","Clarkellway","Female",702365,2025-03-03,"LinkedIn","Interview",31,8,"Director of Sales",6,"R. Thomas",4.3,NA,NA
500159,"Dylan","Lakeson","Male",702513,2024-07-17,"Networking Event","Applied",26,7,"Digital Marketing Manager",3,"M. Davis",NA,NA,NA
500160,"Nolan","Torrarstead","Male",700436,2025-05-14,"LinkedIn","Applied",29,8,"Account Executive",2,"K. Brown",NA,NA,NA
500161,"Andrea","Torrorwall","Female",700995,2024-12-22,"Referral","Applied",36,10,"Customer Support Manager",3,"J. Watson",NA,NA,NA
500162,"Preston","Longingshire","Male",702202,2024-03-06,"Referral","Applied",17,5,"Senior Financial Analyst",3,"S. Lee",NA,NA,NA
500163,"Anthony","Riverunsen","Male",700618,2024-08-14,"Career Site","Rejected",32,9,"Operations Analyst",2,"K. Brown",4.3,NA,NA
500164,"Ruby","Parkunward","Female",701905,2024-01-29,"Agency","Phone Screen",14,4,"Systems Administrator",2,"K. Brown",NA,NA,NA
500165,"Casey","Eastlinmere","Female",702064,2025-03-02,"Indeed","Applied",26,7,"Digital Marketing Manager",3,"D. Patel",NA,NA,NA
500166,"Taylor","Chandthorne","Non-Binary",701455,2025-11-26,"Campus","Rejected",5,2,"Software Engineer II",2,"R. Thomas",3.9,NA,NA
500167,"Layla","Wolfcrest","Female",702258,2025-12-24,"Referral","Rejected",23,6,"HR Manager",4,"M. Davis",3.1,NA,NA
500168,"Caroline","Blandinghart","Female",701499,2025-11-25,"Career Site","Applied",24,6,"Director of HR",6,"J. Watson",NA,NA,NA
500169,"Preston","Blackelridge","Male",702034,2025-07-04,"Referral","Offer Extended",21,6,"HR Generalist",2,"S. Lee",3.9,"Pending",14
500170,"David","Marinmere","Male",701473,2024-01-02,"LinkedIn","Hired",21,6,"HR Generalist",2,"R. Thomas",4.6,"Yes",60
500171,"Alexander","Fordingmond","Male",701188,2025-08-05,"LinkedIn","Phone Screen",36,10,"Customer Support Manager",3,"D. Patel",NA,NA,NA
500172,"Owen","Perrywood","Male",700646,2025-05-12,"LinkedIn","Offer Extended",34,9,"Director of Operations",6,"M. Davis",5,"No",27
500173,"Michael","Goldellham","Male",700285,2025-01-24,"LinkedIn","Phone Screen",25,7,"Marketing Specialist",1,"M. Davis",NA,NA,NA
500174,"Tyler","Caldworth","Male",701082,2025-11-23,"Indeed","Interview",3,1,"Vice President",8,"J. Watson",2.8,NA,NA
500175,"Kai","Crosslinmere","Female",702200,2025-05-16,"LinkedIn","Interview",5,2,"Software Engineer II",2,"T. Nguyen",2.2,NA,NA
500176,"Blair","Wrenowall","Female",702292,2025-08-01,"LinkedIn","Phone Screen",8,2,"Director of Engineering",6,"D. Patel",NA,NA,NA
500177,"Brian","Grayeman","Male",702282,2026-01-20,"LinkedIn","Applied",20,6,"HR Coordinator",1,"S. Lee",NA,NA,NA
500178,"Logan","Springward","Male",700649,2025-07-25,"Career Site","Applied",24,6,"Director of HR",6,"M. Davis",NA,NA,NA
500179,"Daniel","Fordway","Non-Binary",701550,2025-07-06,"Career Site","Applied",36,10,"Customer Support Manager",3,"T. Nguyen",NA,NA,NA
500180,"Aisha","Fordunridge","Female",701598,2024-04-27,"Indeed","Phone Screen",26,7,"Digital Marketing Manager",3,"J. Watson",NA,NA,NA
500181,"Nathan","Oakingwin","Male",700907,2025-01-22,"Campus","Offer Extended",22,6,"HR Business Partner",3,"R. Thomas",4.1,"Pending",46
500182,"Adam","Lakeellmore","Non-Binary",700489,2024-03-02,"Referral","Interview",18,5,"Finance Manager",4,"A. Carter",4.4,NA,NA
500183,"Avery","Hayecott","Female",701928,2025-06-22,"Indeed","Interview",22,6,"HR Business Partner",3,"S. Lee",2.1,NA,NA
500184,"Thomas","Stormerberg","Male",700381,2025-03-20,"Career Site","Final Interview",19,5,"Director of Finance",6,"M. Davis",3.7,NA,NA
500185,"Micah","Silverellden","Male",702613,2024-03-26,"Career Site","Applied",4,2,"Software Engineer I",1,"M. Davis",NA,NA,NA
500186,"Sofia","Stormistead","Female",702172,2025-04-08,"Referral","Rejected",14,4,"Systems Administrator",2,"J. Watson",4.1,NA,NA
500187,"Eden","Kendetthorne","Female",701728,2025-02-24,"Career Site","Withdrawn",24,6,"Director of HR",6,"M. Davis",NA,NA,NA
500188,"Morgan","Bramoncrest","Female",700474,2024-07-14,"Referral","Hired",27,7,"Marketing Director",5,"S. Lee",4.7,"Yes",86
500189,"Angela","Grayarbrook","Female",702404,2025-05-22,"LinkedIn","Offer Extended",40,11,"General Counsel",8,"R. Thomas",3.5,"Pending",61
500190,"Aiden","Rockorlin","Male",702756,2024-03-06,"LinkedIn","Rejected",36,10,"Customer Support Manager",3,"D. Patel",2.5,NA,NA
500191,"Andrew","Ashorquist","Male",700610,2025-05-24,"Career Site","Applied",19,5,"Director of Finance",6,"M. Davis",NA,NA,NA
500192,"Alicia","Brookiwell","Female",702472,2025-12-06,"LinkedIn","Final Interview",4,2,"Software Engineer I",1,"J. Watson",4.7,NA,NA
