"EmployeeID","FirstName","LastName","Email","Gender","BirthDate","Age","DepartmentID","JobID","JobTitle","JobLevel","LocationID","HireDate","TerminationDate","EmploymentStatus","TerminationType","WorkerType","EmploymentType","Exempt","FTE","RemoteStatus","ManagerID","ManagerName","FinalTenureYears","CurrentSalary","CurrentBonusTarget"
107115,"Hannah","Emward","hannah.emward107115@synteccorp.com","Female",1968-09-14,57,1,2,"Chief Operating Officer",9,12,2015-10-20,NA,"Active",NA,"Contractor","Regular",TRUE,1,"Onsite",108439,"Rose Quillingberg",10.39,591325,118265
107759,"Gabriel","Blandincrest","gabriel.blandincrest107759@synteccorp.com","Female",2001-09-02,24,1,2,"Chief Operating Officer",9,5,2016-08-31,NA,"Active",NA,"Employee","Regular",TRUE,1,"Onsite",108439,"Rose Quillingberg",9.52,426410,85282
108809,"Luna","Rowlinson","luna.rowlinson108809@synteccorp.com","Female",1999-03-27,26,1,2,"Chief Operating Officer",9,2,2017-04-22,2022-08-20,"Terminated","Involuntary","Contractor","Regular",TRUE,0.8,"Onsite",108439,"Rose Quillingberg",5.33,454455,90891
105824,"Cameron","Lakesonmere","cameron.lakesonmere105824@synteccorp.com","Male",1980-08-12,45,1,2,"Chief Operating Officer",9,5,2017-08-02,NA,"Active",NA,"Employee","Regular",TRUE,0.6,"Onsite",108439,"Rose Quillingberg",8.6,445019,89004
109950,"Sage","Silveruton","sage.silveruton109950@synteccorp.com","Female",1984-11-07,41,1,2,"Chief Operating Officer",9,3,2017-09-28,NA,"Active",NA,"Employee","Regular",TRUE,1,"Onsite",108439,"Rose Quillingberg",8.45,486765,97353
105405,"Madison","Delellstrom","madison.delellstrom105405@synteccorp.com","Male",1999-06-16,26,1,2,"Chief Operating Officer",9,1,2017-12-03,NA,"Active",NA,"Employee","Regular",TRUE,1,"Onsite",108439,"Rose Quillingberg",8.27,461245,92249
102916,"Dylan","Greeneby","dylan.greeneby102916@synteccorp.com","Male",1976-09-03,49,1,2,"Chief Operating Officer",9,10,2018-01-16,NA,"Active",NA,"Employee","Regular",TRUE,1,"Onsite",108439,"Rose Quillingberg",8.15,489848,97970
107473,"Dominic","Wardlincroft","dominic.wardlincroft107473@synteccorp.com","Male",1967-01-15,59,1,2,"Chief Operating Officer",9,11,2018-02-06,2021-12-20,"Terminated","Voluntary","Employee","Regular",TRUE,1,"Remote",108439,"Rose Quillingberg",3.87,340021,68004
100546,"Andrew","Golderbry","andrew.golderbry100546@synteccorp.com","Male",1984-11-08,41,1,2,"Chief Operating Officer",9,7,2018-12-26,NA,"Active",NA,"Employee","Regular",TRUE,0.8,"Onsite",108439,"Rose Quillingberg",7.2,510410,102082
103099,"Jade","Summerunman","jade.summerunman103099@synteccorp.com","Male",1985-06-15,40,1,2,"Chief Operating Officer",9,6,2019-02-13,NA,"Active",NA,"Employee","Regular",TRUE,1,"Onsite",108439,"Rose Quillingberg",7.07,462629,92526
109850,"Ava","Dunwood","ava.dunwood109850@synteccorp.com","Male",1992-07-17,33,1,2,"Chief Operating Officer",9,8,2019-07-10,2024-12-05,"Terminated","Voluntary","Employee","Regular",TRUE,1,"Remote",108439,"Rose Quillingberg",5.41,382541,76508
106707,"Logan","Autumningwin","logan.autumningwin106707@synteccorp.com","Male",1992-08-12,33,1,2,"Chief Operating Officer",9,12,2019-11-01,NA,"Active",NA,"Employee","Regular",TRUE,0.8,"Onsite",108439,"Rose Quillingberg",6.35,406646,81329
105122,"Albert","Hartelway","albert.hartelway105122@synteccorp.com","Female",2001-02-19,25,1,2,"Chief Operating Officer",9,11,2019-11-08,NA,"Active",NA,"Employee","Regular",TRUE,1,"Onsite",108439,"Rose Quillingberg",6.33,547178,109436
105581,"Aaron","Monodale","aaron.monodale105581@synteccorp.com","Male",1974-03-05,52,1,2,"Chief Operating Officer",9,4,2020-09-18,NA,"Active",NA,"Employee","Regular",TRUE,1,"Onsite",108439,"Rose Quillingberg",5.47,538571,107714
103096,"Carter","Whitetthart","carter.whitetthart103096@synteccorp.com","Male",1975-04-18,50,1,2,"Chief Operating Officer",9,8,2020-12-31,NA,"Active",NA,"Employee","Regular",TRUE,1,"Hybrid",108439,"Rose Quillingberg",5.19,497323,99465
107711,"Autumn","Darnindale","autumn.darnindale107711@synteccorp.com","Male",1997-06-16,28,1,2,"Chief Operating Officer",9,9,2022-03-28,NA,"Active",NA,"Employee","Regular",TRUE,1,"Hybrid",108439,"Rose Quillingberg",3.95,375239,75048
102463,"Autumn","Roseuman","autumn.roseuman102463@synteccorp.com","Male",1995-03-28,30,1,2,"Chief Operating Officer",9,4,2022-05-13,NA,"Active",NA,"Employee","Regular",TRUE,1,"Onsite",108439,"Rose Quillingberg",3.82,451814,90363
106843,"Amy","Pineencott","amy.pineencott106843@synteccorp.com","Male",1972-05-24,53,1,2,"Chief Operating Officer",9,2,2023-02-18,NA,"Active",NA,"Employee","Regular",TRUE,1,"Onsite",108439,"Rose Quillingberg",3.05,358446,71689
105036,"Albert","Summeroland","albert.summeroland105036@synteccorp.com","Female",2003-05-24,22,1,2,"Chief Operating Officer",9,10,2023-03-18,NA,"Active",NA,"Employee","Regular",TRUE,1,"Onsite",108439,"Rose Quillingberg",2.98,374641,74928
108431,"Paul","Crossordale","paul.crossordale108431@synteccorp.com","Female",1965-11-12,60,1,2,"Chief Operating Officer",9,6,2024-03-21,NA,"Active",NA,"Employee","Regular",TRUE,1,"Hybrid",108439,"Rose Quillingberg",1.97,484791,96958
103743,"Ian","Grantiman","ian.grantiman103743@synteccorp.com","Female",1980-08-11,45,1,2,"Chief Operating Officer",9,3,2024-06-09,NA,"Active",NA,"Contractor","Regular",TRUE,1,"Onsite",108439,"Rose Quillingberg",1.75,407811,81562
102042,"Penelope","Kendelby","penelope.kendelby102042@synteccorp.com","Male",1971-05-03,54,1,2,"Chief Operating Officer",9,2,2025-06-27,NA,"Active",NA,"Employee","Regular",TRUE,1,"Hybrid",108439,"Rose Quillingberg",0.7,333268,66654
100025,"Emma","Emewood","emma.emewood100025@synteccorp.com","Male",1998-06-16,27,1,2,"Chief Operating Officer",9,6,2025-12-07,NA,"Active",NA,"Employee","Regular",TRUE,1,"Onsite",108439,"Rose Quillingberg",0.25,478245,95649
100526,"Theodore","Swanorcott","theodore.swanorcott100526@synteccorp.com","Male",1968-01-03,58,1,3,"Vice President",8,5,2013-01-09,NA,"Active",NA,"Employee","Regular",TRUE,1,"Remote",108439,"Rose Quillingberg",13.16,625197,125039
108254,"Felix","Ashlinden","felix.ashlinden108254@synteccorp.com","Female",2003-01-02,23,1,3,"Vice President",8,3,2013-04-26,NA,"Active",NA,"Employee","Regular",TRUE,1,"Hybrid",108439,"Rose Quillingberg",12.87,376793,75359
109577,"Amy","Raininland","amy.raininland109577@synteccorp.com","Female",1999-07-21,26,1,3,"Vice President",8,1,2014-04-29,NA,"Active",NA,"Employee","Regular",TRUE,1,"Onsite",108439,"Rose Quillingberg",11.86,498846,99769
107004,"Evelyn","Whitinbrook","evelyn.whitinbrook107004@synteccorp.com","Non-Binary",1965-01-08,61,1,3,"Vice President",8,10,2014-06-30,NA,"Active",NA,"Employee","Regular",TRUE,1,"Onsite",108439,"Rose Quillingberg",11.69,363233,72647
109343,"Eden","Windsoncrest","eden.windsoncrest109343@synteccorp.com","Female",1971-09-26,54,1,3,"Vice President",8,9,2014-07-26,NA,"Active",NA,"Employee","Regular",TRUE,0.8,"Onsite",108439,"Rose Quillingberg",11.62,535287,107057
104073,"Leo","Wintercott","leo.wintercott104073@synteccorp.com","Male",1992-11-10,33,1,3,"Vice President",8,12,2014-11-25,NA,"Active",NA,"Contractor","Regular",TRUE,1,"Hybrid",108439,"Rose Quillingberg",11.29,487680,97536
108305,"Alexander","Langwellcott","alexander.langwellcott108305@synteccorp.com","Female",1971-06-12,54,1,3,"Vice President",8,3,2015-01-14,2021-09-24,"Terminated","Involuntary","Employee","Regular",TRUE,1,"Onsite",108439,"Rose Quillingberg",6.69,389195,77839
109390,"Adam","Crowecott","adam.crowecott109390@synteccorp.com","Male",1966-12-06,59,1,3,"Vice President",8,6,2015-03-18,NA,"Active",NA,"Employee","Regular",TRUE,0.8,"Onsite",108439,"Rose Quillingberg",10.98,509460,101892
106556,"Daniela","Dunihart","daniela.dunihart106556@synteccorp.com","Female",1980-10-03,45,1,3,"Vice President",8,3,2015-04-04,NA,"Active",NA,"Employee","Regular",TRUE,1,"Onsite",108439,"Rose Quillingberg",10.93,359632,71926
105839,"Andrew","Glenunbrook","andrew.glenunbrook105839@synteccorp.com","Male",1962-11-12,63,1,3,"Vice President",8,10,2015-05-02,NA,"Active",NA,"Employee","Regular",TRUE,0.8,"Onsite",108439,"Rose Quillingberg",10.85,489767,97953
100764,"Richard","Brightubrook","richard.brightubrook100764@synteccorp.com","Female",1965-01-14,61,1,3,"Vice President",8,3,2015-08-11,NA,"Active",NA,"Employee","Regular",TRUE,1,"Onsite",108439,"Rose Quillingberg",10.58,396347,79269
101025,"Alexander","Bennunmere","alexander.bennunmere101025@synteccorp.com","Female",1973-08-22,52,1,3,"Vice President",8,3,2016-06-06,NA,"Active",NA,"Employee","Temporary",TRUE,1,"Hybrid",108439,"Rose Quillingberg",9.76,458840,91768
102509,"Gabriel","Windellridge","gabriel.windellridge102509@synteccorp.com","Female",1980-09-29,45,1,3,"Vice President",8,11,2016-08-31,NA,"Active",NA,"Contractor","Regular",TRUE,1,"Onsite",108439,"Rose Quillingberg",9.52,408887,81777
104582,"Kevin","Summeramore","kevin.summeramore104582@synteccorp.com","Male",1964-11-28,61,1,3,"Vice President",8,7,2016-09-22,NA,"Active",NA,"Employee","Regular",TRUE,1,"Onsite",108439,"Rose Quillingberg",9.46,543494,108699
105397,"Kai","Emstead","kai.emstead105397@synteccorp.com","Male",1964-05-30,61,1,3,"Vice President",8,5,2017-02-13,NA,"Active",NA,"Employee","Regular",TRUE,1,"Remote",108439,"Rose Quillingberg",9.07,372133,74427
109009,"Eden","Longinbrook","eden.longinbrook109009@synteccorp.com","Female",1982-11-03,43,1,3,"Vice President",8,11,2017-03-29,NA,"Active",NA,"Employee","Regular",TRUE,1,"Remote",108439,"Rose Quillingberg",8.95,445254,89051
100212,"Benjamin","Thornlinwin","benjamin.thornlinwin100212@synteccorp.com","Female",1981-03-13,44,1,3,"Vice President",8,4,2018-06-13,NA,"Active",NA,"Employee","Regular",TRUE,1,"Hybrid",108439,"Rose Quillingberg",7.74,467178,93436
107980,"Harper","Silveroford","harper.silveroford107980@synteccorp.com","Female",1966-05-28,59,1,3,"Vice President",8,12,2018-07-03,NA,"Active",NA,"Employee","Regular",TRUE,1,"Onsite",108439,"Rose Quillingberg",7.68,395418,79084
103928,"William","Darnbry","william.darnbry103928@synteccorp.com","Male",1964-11-28,61,1,3,"Vice President",8,4,2018-07-14,NA,"Active",NA,"Employee","Regular",TRUE,1,"Hybrid",108439,"Rose Quillingberg",7.65,354316,70863
107732,"Christopher","Windsonmere","christopher.windsonmere107732@synteccorp.com","Male",1977-01-03,49,1,3,"Vice President",8,4,2018-07-23,NA,"Active",NA,"Employee","Regular",TRUE,0.8,"Hybrid",108439,"Rose Quillingberg",7.63,516532,103306
109284,"Alice","Radorton","alice.radorton109284@synteccorp.com","Male",1969-11-02,56,1,3,"Vice President",8,12,2018-08-25,NA,"Active",NA,"Employee","Regular",TRUE,1,"Hybrid",108439,"Rose Quillingberg",7.54,442058,88412
107378,"Adam","Hartunway","adam.hartunway107378@synteccorp.com","Female",1966-06-11,59,1,3,"Vice President",8,11,2018-12-12,NA,"Active",NA,"Contractor","Regular",TRUE,0.8,"Hybrid",108439,"Rose Quillingberg",7.24,378784,75757
103074,"Sawyer","Oakingstead","sawyer.oakingstead103074@synteccorp.com","Female",1973-07-18,52,1,3,"Vice President",8,8,2019-03-21,NA,"Active",NA,"Employee","Regular",TRUE,1,"Onsite",108439,"Rose Quillingberg",6.97,409384,81877
101336,"Mason","Daloward","mason.daloward101336@synteccorp.com","Male",1985-12-30,40,1,3,"Vice President",8,8,2019-05-11,NA,"Active",NA,"Employee","Regular",TRUE,0.8,"Remote",108439,"Rose Quillingberg",6.83,319665,63933
106260,"Noah","Valeley","noah.valeley106260@synteccorp.com","Male",1967-05-31,58,1,3,"Vice President",8,8,2019-07-11,NA,"Active",NA,"Employee","Regular",TRUE,1,"Onsite",108439,"Rose Quillingberg",6.66,358451,71690
102454,"Paul","Cranman","paul.cranman102454@synteccorp.com","Female",1993-09-17,32,1,3,"Vice President",8,6,2019-07-28,NA,"Active",NA,"Employee","Regular",TRUE,1,"Hybrid",108439,"Rose Quillingberg",6.62,395162,79032
103912,"Dakota","Hayingcroft","dakota.hayingcroft103912@synteccorp.com","Female",1985-11-30,40,1,3,"Vice President",8,12,2019-09-03,NA,"Active",NA,"Employee","Regular",TRUE,1,"Onsite",108439,"Rose Quillingberg",6.52,410845,82169
104811,"Charlie","Fordunquist","charlie.fordunquist104811@synteccorp.com","Female",2001-08-05,24,1,3,"Vice President",8,10,2019-09-19,NA,"Active",NA,"Employee","Regular",TRUE,1,"Onsite",108439,"Rose Quillingberg",6.47,481556,96311
103113,"Scarlett","Oakelbry","scarlett.oakelbry103113@synteccorp.com","Male",1971-05-19,54,1,3,"Vice President",8,12,2019-10-09,NA,"Active",NA,"Employee","Regular",TRUE,0.8,"Onsite",108439,"Rose Quillingberg",6.42,384937,76987
100186,"Naomi","Perryinstone","naomi.perryinstone100186@synteccorp.com","Female",1971-08-14,54,1,3,"Vice President",8,11,2020-09-29,NA,"Active",NA,"Employee","Temporary",TRUE,1,"Hybrid",108439,"Rose Quillingberg",5.44,365809,73162
104738,"Isabella","Windastone","isabella.windastone104738@synteccorp.com","Male",1989-11-27,36,1,3,"Vice President",8,4,2020-11-14,NA,"Active",NA,"Employee","Regular",TRUE,0.8,"Onsite",108439,"Rose Quillingberg",5.32,389652,77930
105087,"Diana","Clarkwellton","diana.clarkwellton105087@synteccorp.com","Female",1983-10-11,42,1,3,"Vice President",8,4,2021-04-04,NA,"Active",NA,"Employee","Regular",TRUE,1,"Onsite",108439,"Rose Quillingberg",4.93,304685,60937
100303,"Paul","Crowinstone","paul.crowinstone100303@synteccorp.com","Female",1990-04-04,35,1,3,"Vice President",8,2,2021-06-13,NA,"Active",NA,"Employee","Regular",TRUE,1,"Remote",108439,"Rose Quillingberg",4.74,325172,65034
108386,"Layla","Caldwingham","layla.caldwingham108386@synteccorp.com","Female",1997-04-25,28,1,3,"Vice President",8,10,2022-02-11,NA,"Active",NA,"Employee","Regular",TRUE,1,"Onsite",108439,"Rose Quillingberg",4.07,353735,70747
107865,"Jordan","Sandsonbrook","jordan.sandsonbrook107865@synteccorp.com","Male",1987-01-02,39,1,3,"Vice President",8,8,2022-02-15,NA,"Active",NA,"Employee","Regular",TRUE,1,"Remote",108439,"Rose Quillingberg",4.06,311748,62350
104583,"Hayden","Rainworth","hayden.rainworth104583@synteccorp.com","Male",1969-10-13,56,1,3,"Vice President",8,9,2022-04-23,NA,"Active",NA,"Employee","Regular",TRUE,1,"Remote",108439,"Rose Quillingberg",3.88,325192,65038
100675,"Marcus","Lakeland","marcus.lakeland100675@synteccorp.com","Female",1988-02-22,38,1,3,"Vice President",8,7,2022-11-19,NA,"Active",NA,"Employee","Regular",TRUE,1,"Onsite",108439,"Rose Quillingberg",3.3,372366,74473
105294,"Simon","Delettham","simon.delettham105294@synteccorp.com","Female",1987-06-13,38,1,3,"Vice President",8,7,2023-01-27,NA,"Active",NA,"Employee","Regular",TRUE,1,"Remote",108439,"Rose Quillingberg",3.12,375943,75189
104396,"Luis","Greenerby","luis.greenerby104396@synteccorp.com","Non-Binary",1967-07-14,58,1,3,"Vice President",8,9,2023-03-29,NA,"Active",NA,"Employee","Regular",TRUE,0.6,"Onsite",108439,"Rose Quillingberg",2.95,355680,71136
103006,"Madeline","Bellman","madeline.bellman103006@synteccorp.com","Male",1962-05-10,63,1,3,"Vice President",8,10,2023-05-08,NA,"Active",NA,"Employee","Regular",TRUE,1,"Remote",108439,"Rose Quillingberg",2.84,328651,65730
107439,"Jonathan","Hollton","jonathan.hollton107439@synteccorp.com","Female",1976-02-23,50,1,3,"Vice President",8,3,2023-08-24,NA,"Active",NA,"Contractor","Regular",TRUE,0.8,"Hybrid",108439,"Rose Quillingberg",2.54,310832,62166
108906,"Ana","Wardleyton","ana.wardleyton108906@synteccorp.com","Female",1974-01-29,52,1,3,"Vice President",8,10,2023-12-26,NA,"Active",NA,"Employee","Regular",TRUE,0.8,"Remote",108439,"Rose Quillingberg",2.2,306473,61295
106702,"Simon","Caldellstead","simon.caldellstead106702@synteccorp.com","Female",2002-07-15,23,1,3,"Vice President",8,3,2024-03-20,NA,"Active",NA,"Employee","Regular",TRUE,1,"Remote",108439,"Rose Quillingberg",1.97,356865,71373
107148,"Jayden","Caldellden","jayden.caldellden107148@synteccorp.com","Female",1999-06-14,26,1,3,"Vice President",8,1,2024-06-16,NA,"Active",NA,"Employee","Regular",TRUE,1,"Hybrid",108439,"Rose Quillingberg",1.73,358923,71785
103696,"Cameron","Dunancroft","cameron.dunancroft103696@synteccorp.com","Male",1993-01-08,33,1,3,"Vice President",8,3,2024-08-13,NA,"Active",NA,"Employee","Temporary",TRUE,1,"Hybrid",108439,"Rose Quillingberg",1.57,339054,67811
103618,"Austin","Glenenstrom","austin.glenenstrom103618@synteccorp.com","Female",1981-05-16,44,1,3,"Vice President",8,10,2024-10-01,NA,"Active",NA,"Employee","Regular",TRUE,1,"Onsite",108439,"Rose Quillingberg",1.44,309051,61810
103849,"Eliana","Dunancroft","eliana.dunancroft103849@synteccorp.com","Male",1964-01-02,62,1,3,"Vice President",8,3,2024-12-31,NA,"Active",NA,"Employee","Regular",TRUE,1,"Onsite",108439,"Rose Quillingberg",1.19,286918,57384
106287,"Robert","Crowellfield","robert.crowellfield106287@synteccorp.com","Female",1963-10-06,62,1,3,"Vice President",8,1,2026-01-06,NA,"Active",NA,"Employee","Regular",TRUE,1,"Onsite",108439,"Rose Quillingberg",0.17,331298,66260
106302,"Robert","Autumneridge","robert.autumneridge106302@synteccorp.com","Female",1991-04-28,34,11,40,"General Counsel",8,2,2014-02-13,NA,"Active",NA,"Employee","Regular",TRUE,1,"Remote",108439,"Rose Quillingberg",12.07,438536,87707
107673,"Joshua","Grantettberg","joshua.grantettberg107673@synteccorp.com","Male",1985-09-25,40,11,40,"General Counsel",8,11,2014-03-20,NA,"Active",NA,"Employee","Regular",TRUE,1,"Onsite",108439,"Rose Quillingberg",11.97,439829,87966
109811,"Chloe","Daluworth","chloe.daluworth109811@synteccorp.com","Male",1988-07-10,37,11,40,"General Counsel",8,7,2017-03-02,NA,"Active",NA,"Employee","Regular",TRUE,1,"Remote",108439,"Rose Quillingberg",9.02,462273,92455
102673,"Sydney","Blackelldale","sydney.blackelldale102673@synteccorp.com","Male",1971-02-01,55,11,40,"General Counsel",8,6,2018-06-08,NA,"Active",NA,"Employee","Regular",TRUE,1,"Hybrid",108439,"Rose Quillingberg",7.75,450023,90005
102052,"Colin","Radoton","colin.radoton102052@synteccorp.com","Female",2000-08-09,25,11,40,"General Counsel",8,4,2022-10-14,NA,"Active",NA,"Employee","Regular",TRUE,1,"Hybrid",108439,"Rose Quillingberg",3.4,367624,73525
101479,"Owen","Monellwood","owen.monellwood101479@synteccorp.com","Female",1999-11-19,26,11,40,"General Counsel",8,5,2024-09-28,NA,"Active",NA,"Employee","Regular",TRUE,1,"Hybrid",108439,"Rose Quillingberg",1.45,284116,56823
109885,"Rebecca","Swanleyton","rebecca.swanleyton109885@synteccorp.com","Male",1996-01-19,30,2,8,"Director of Engineering",6,7,2013-02-01,NA,"Active",NA,"Employee","Regular",TRUE,0.8,"Onsite",108439,"Rose Quillingberg",13.1,427282,85456
108106,"Madeline","Northarberg","madeline.northarberg108106@synteccorp.com","Male",1989-02-15,37,2,8,"Director of Engineering",6,6,2013-03-11,NA,"Active",NA,"Employee","Regular",TRUE,1,"Remote",108439,"Rose Quillingberg",13,487183,97437
103155,"Drew","Kendendale","drew.kendendale103155@synteccorp.com","Male",1987-07-26,38,2,8,"Director of Engineering",6,10,2013-04-04,NA,"Active",NA,"Employee","Regular",TRUE,0.6,"Onsite",108439,"Rose Quillingberg",12.93,389991,77998
108841,"Ethan","Sanderidge","ethan.sanderidge108841@synteccorp.com","Male",2004-06-26,21,2,8,"Director of Engineering",6,5,2013-05-28,NA,"Active",NA,"Employee","Regular",TRUE,1,"Hybrid",108439,"Rose Quillingberg",12.78,297820,59564
103920,"Taylor","Reedstrom","taylor.reedstrom103920@synteccorp.com","Female",2004-05-15,21,2,8,"Director of Engineering",6,8,2013-08-22,NA,"Active",NA,"Employee","Regular",TRUE,1,"Hybrid",108439,"Rose Quillingberg",12.55,295157,59031
109948,"Jason","Emimere","jason.emimere109948@synteccorp.com","Male",1969-05-10,56,2,8,"Director of Engineering",6,8,2013-12-23,NA,"Active",NA,"Employee","Regular",TRUE,1,"Hybrid",108439,"Rose Quillingberg",12.21,336144,67229
109935,"Isaac","Pineensen","isaac.pineensen109935@synteccorp.com","Male",1994-01-18,32,2,8,"Director of Engineering",6,1,2014-02-09,NA,"Active",NA,"Employee","Regular",TRUE,1,"Hybrid",108439,"Rose Quillingberg",12.08,326399,65280
106290,"Henry","Yorkorridge","henry.yorkorridge106290@synteccorp.com","Female",1994-04-07,31,2,8,"Director of Engineering",6,1,2014-03-22,NA,"Active",NA,"Employee","Temporary",TRUE,1,"Onsite",108439,"Rose Quillingberg",11.97,406449,81290
102497,"Charlotte","Parkettford","charlotte.parkettford102497@synteccorp.com","Male",1998-03-17,27,2,8,"Director of Engineering",6,3,2014-04-16,NA,"Active",NA,"Employee","Regular",TRUE,1,"Onsite",108439,"Rose Quillingberg",11.9,314115,62823
108365,"Logan","Crossmond","logan.crossmond108365@synteccorp.com","Male",2004-07-28,21,2,8,"Director of Engineering",6,12,2014-05-20,NA,"Active",NA,"Employee","Regular",TRUE,0.8,"Hybrid",108439,"Rose Quillingberg",11.81,273559,54712
106334,"Adrian","Blackincott","adrian.blackincott106334@synteccorp.com","Male",1964-11-07,61,2,8,"Director of Engineering",6,11,2014-06-15,NA,"Active",NA,"Employee","Regular",TRUE,1,"Remote",108439,"Rose Quillingberg",11.73,378786,75757
101603,"Alexa","Caldwihart","alexa.caldwihart101603@synteccorp.com","Female",1975-05-26,50,2,8,"Director of Engineering",6,6,2015-01-14,NA,"Active",NA,"Employee","Regular",TRUE,0.8,"Onsite",108439,"Rose Quillingberg",11.15,418313,83663
100947,"Albert","Westbry","albert.westbry100947@synteccorp.com","Male",1974-08-13,51,2,8,"Director of Engineering",6,10,2015-02-26,NA,"Active",NA,"Employee","Regular",TRUE,1,"Remote",108439,"Rose Quillingberg",11.03,283770,56754
108852,"Joshua","Valetonquist","joshua.valetonquist108852@synteccorp.com","Female",1982-11-15,43,2,8,"Director of Engineering",6,4,2015-05-10,NA,"Active",NA,"Employee","Regular",TRUE,1,"Hybrid",108439,"Rose Quillingberg",10.83,404491,80898
101646,"Lucy","Whitanmere","lucy.whitanmere101646@synteccorp.com","Male",1996-03-14,29,2,8,"Director of Engineering",6,11,2015-05-17,NA,"Active",NA,"Employee","Regular",TRUE,1,"Remote",108439,"Rose Quillingberg",10.81,319677,63935
103417,"Maya","Halltonman","maya.halltonman103417@synteccorp.com","Non-Binary",1984-10-11,41,2,8,"Director of Engineering",6,8,2015-12-14,NA,"Active",NA,"Employee","Regular",TRUE,1,"Onsite",108439,"Rose Quillingberg",10.24,314913,62983
109939,"Victor","Camlinham","victor.camlinham109939@synteccorp.com","Male",1992-03-05,34,2,8,"Director of Engineering",6,9,2016-01-22,NA,"Active",NA,"Employee","Regular",TRUE,1,"Hybrid",108439,"Rose Quillingberg",10.13,261636,52327
100762,"Faith","Windarmere","faith.windarmere100762@synteccorp.com","Male",1998-07-29,27,2,8,"Director of Engineering",6,3,2016-01-25,NA,"Active",NA,"Employee","Regular",TRUE,1,"Onsite",108439,"Rose Quillingberg",10.12,326651,65330
107984,"Albert","Forderson","albert.forderson107984@synteccorp.com","Male",2002-02-12,24,2,8,"Director of Engineering",6,1,2016-05-14,NA,"Active",NA,"Employee","Regular",TRUE,1,"Hybrid",108439,"Rose Quillingberg",9.82,323945,64789
106479,"Jayden","Coleinfield","jayden.coleinfield106479@synteccorp.com","Male",1997-01-14,29,2,8,"Director of Engineering",6,5,2016-05-17,NA,"Active",NA,"Employee","Regular",TRUE,1,"Onsite",108439,"Rose Quillingberg",9.81,342540,68508
100816,"Xavier","Deltonman","xavier.deltonman100816@synteccorp.com","Female",1981-09-27,44,2,8,"Director of Engineering",6,3,2016-06-09,NA,"Active",NA,"Employee","Regular",TRUE,1,"Hybrid",108439,"Rose Quillingberg",9.75,286983,57397
